dteday,temp,cnt
2011-01-01,18.879232505643337,985
2011-01-02,19.480812641083517,801
2011-01-03,14.274984609070385,1349
2011-01-04,14.388261851015802,1562
2011-01-05,15.227990970654627,1600
2011-01-06,14.52370203160271,1606
2011-01-07,14.279909706546274,1510
2011-01-08,13.297968397291196,959
2011-01-09,12.467268623024829,822
2011-01-10,12.856659142212191,1321
2011-01-11,13.425405294479786,1263
2011-01-12,13.5386825364252,1162
2011-01-13,13.297968397291196,1406
2011-01-14,13.169300225733634,1421
2011-01-15,15.42663656884876,1248
2011-01-16,15.374717832957108,1204
2011-01-17,13.635440180586906,1000
2011-01-18,14.907449209932278,683
2011-01-19,17.259593679458238,1650
2011-01-20,16.30925507900677,1927
2011-01-21,13.687358916478555,1543
2011-01-22,10.0,981
2011-01-23,11.164785553047404,986
2011-01-24,11.191873589164786,1416
2011-01-25,15.119638826185103,1985
2011-01-26,14.933408577878101,506
2011-01-27,14.232505643340858,431
2011-01-28,14.496613995485326,1167
2011-01-29,14.279909706546274,1098
2011-01-30,14.90293453724605,1096
2011-01-31,13.79119638826185,1501
2011-02-01,14.14446952595937,1360
2011-02-02,16.25733634311512,1526
2011-02-03,13.981941309255076,1550
2011-02-04,14.740406320541762,1708
2011-02-05,15.426636568848757,1005
2011-02-06,17.062076749435665,1623
2011-02-07,16.620767494356656,1712
2011-02-08,15.0372460496614,1530
2011-02-09,12.35665914221219,1605
2011-02-10,12.654627539503384,1538
2011-02-11,14.04843012517956,1746
2011-02-12,15.089164785553047,1472
2011-02-13,18.018058690744923,1589
2011-02-14,21.08577878103837,1913
2011-02-15,16.446952595936793,1815
2011-02-16,18.072234762979683,2115
2011-02-17,21.73476297968397,2475
2011-02-18,24.408577878103834,2927
2011-02-19,20.59255079006772,1635
2011-02-20,17.042889390519186,1812
2011-02-21,17.607223476297968,1107
2011-02-22,13.834462001504889,1450
2011-02-23,15.065462753950339,1917
2011-02-24,17.367945823927766,1807
2011-02-25,19.5079006772009,1461
2011-02-26,16.958239277652368,1969
2011-02-27,18.857787810383744,2402
2011-02-28,20.845064641904372,1446
2011-03-01,16.465011286681715,1851
2011-03-02,18.593679458239272,2134
2011-03-03,14.336343115124151,1685
2011-03-04,16.30925507900677,1944
2011-03-05,20.12528216704289,2077
2011-03-06,19.887133182844238,605
2011-03-07,16.311512415349885,1872
2011-03-08,17.269751693002256,2133
2011-03-09,17.373589164785553,1891
2011-03-10,20.2786784321773,623
2011-03-11,18.018058690744923,1977
2011-03-12,18.411963882618505,2132
2011-03-13,20.130925507900677,2417
2011-03-14,18.28893905191874,2046
2011-03-15,18.045146726862303,2056
2011-03-16,19.534988713318285,2192
2011-03-17,21.08577878103837,2744
2011-03-18,24.97968397291196,3239
2011-03-19,22.876975169300223,3117
2011-03-20,18.515801354401802,2471
2011-03-21,21.566591422121896,2077
2011-03-22,21.91647855530474,2703
2011-03-23,18.96613995485327,2121
2011-03-24,17.036117381489845,1865
2011-03-25,16.387133182844245,2210
2011-03-26,16.43905191873589,2496
2011-03-27,16.040632054176072,1693
2011-03-28,16.392776523702032,2028
2011-03-29,17.581264108352144,2425
2011-03-30,17.503386004514667,1536
2011-03-31,16.516930022573366,1685
2011-04-01,17.50338600451467,2227
2011-04-02,17.970654627539503,2252
2011-04-03,19.943566591422123,3249
2011-04-04,26.018058690744915,3115
2011-04-05,21.059819413092548,1795
2011-04-06,20.33295711060948,2808
2011-04-07,21.786681715575618,3141
2011-04-08,18.619638826185103,1471
2011-04-09,18.82731376975169,2455
2011-04-10,21.44920993227991,2895
2011-04-11,26.713318284424368,3348
2011-04-12,23.81151241534989,2034
2011-04-13,21.0079006772009,2162
2011-04-14,22.72121896162528,3267
2011-04-15,22.072234762979676,3126
2011-04-16,21.57900677200903,795
2011-04-17,22.383747178329568,3744
2011-04-18,24.12302483069977,3429
2011-04-19,23.915349887133175,3204
2011-04-20,26.693002257336335,3944
2011-04-21,22.46162528216704,4189
2011-04-22,18.645598194130926,1683
2011-04-23,22.487584650112865,4036
2011-04-24,26.277652370203157,4191
2011-04-25,27.056433408577867,4073
2011-04-26,27.835214446952588,4400
2011-04-27,27.471783295711056,3872
2011-04-28,27.39390519187359,4058
2011-04-29,24.0451467268623,4595
2011-04-30,22.876975169300223,5312
2011-05-01,22.22799097065463,3351
2011-05-02,25.265237020316025,4401
2011-05-03,27.367945823927762,4451
2011-05-04,21.059819413092544,2633
2011-05-05,22.461625282167034,4433
2011-05-06,23.084650112866818,4608
2011-05-07,24.356659142212184,4714
2011-05-08,24.616252821670425,4333
2011-05-09,24.74604966139955,4362
2011-05-10,24.746049661399546,4803
2011-05-11,25.057562076749434,4182
2011-05-12,24.823927765237016,4864
2011-05-13,24.12302483069977,4105
2011-05-14,24.382618510158004,3409
2011-05-15,25.680586907449207,4553
2011-05-16,26.147855530474036,3958
2011-05-17,25.65462753950338,4123
2011-05-18,25.29119638826185,3855
2011-05-19,24.694130925507896,4575
2011-05-20,24.875846501128663,4917
2011-05-21,26.926636568848753,5805
2011-05-22,26.978555304740397,4660
2011-05-23,27.835214446952584,4274
2011-05-24,28.7178329571106,4492
2011-05-25,28.743792325056425,4978
2011-05-26,30.223476297968393,4677
2011-05-27,29.39277652370203,4679
2011-05-28,28.588036117381485,4758
2011-05-29,28.951467268623016,4788
2011-05-30,31.00225733634311,4098
2011-05-31,32.300225733634306,3982
2011-06-01,31.962753950338595,3974
2011-06-02,30.431151241534984,4968
2011-06-03,27.47178329571105,5312
2011-06-04,27.939051918735885,5342
2011-06-05,28.354401805869067,4906
2011-06-06,29.28893905191873,4548
2011-06-07,30.197516930022573,4833
2011-06-08,32.32618510158012,4401
2011-06-09,33.33860045146726,3915
2011-06-10,31.67720090293453,4586
2011-06-11,30.742663656884865,4966
2011-06-12,29.730248306997737,4460
2011-06-13,27.939051918735885,5020
2011-06-14,26.978555304740407,4891
2011-06-15,27.679458239277647,5180
2011-06-16,27.73137697516929,3767
2011-06-17,28.380361173814894,4844
2011-06-18,29.860045146726858,5119
2011-06-19,29.937923250564328,4744
2011-06-20,27.939051918735885,4010
2011-06-21,29.36681715575621,4835
2011-06-22,31.002257336343106,4507
2011-06-23,30.846501128668177,4790
2011-06-24,30.716704288939052,4991
2011-06-25,29.808126410835204,5202
2011-06-26,29.34085778781038,5305
2011-06-27,29.418735891647852,4708
2011-06-28,31.339729119638825,4648
2011-06-29,30.846501128668166,5225
2011-06-30,29.86004514672686,5515
2011-07-01,30.664785553047402,5362
2011-07-02,31.15801354401805,5119
2011-07-03,30.483069977426624,4649
2011-07-04,30.794582392776523,6043
2011-07-05,31.41760722347629,4665
2011-07-06,30.586907449209928,4629
2011-07-07,31.52144469525959,4592
2011-07-08,30.249435665914206,4040
2011-07-09,31.002257336343106,5336
2011-07-10,31.443566591422115,4881
2011-07-11,31.910835214446948,4086
2011-07-12,32.89729119638826,4258
2011-07-13,31.4176072234763,4342
2011-07-14,29.3668171557562,5084
2011-07-15,28.821670428893896,5538
2011-07-16,29.548532731376973,5923
2011-07-17,30.5609480812641,5302
2011-07-18,31.417607223476292,4458
2011-07-19,32.35214446952595,4541
2011-07-20,32.09255079006772,4332
2011-07-21,33.54627539503386,3784
2011-07-22,34.58465011286681,3387
2011-07-23,34.61060948081263,3285
2011-07-24,34.01354401805868,3606
2011-07-25,31.313769751693005,3840
2011-07-26,32.196388261851006,4590
2011-07-27,32.300225733634306,4656
2011-07-28,32.43002257336342,4390
2011-07-29,34.27313769751692,3846
2011-07-30,33.20880361173815,4475
2011-07-31,33.260722347629795,4302
2011-08-01,32.19638826185101,4266
2011-08-02,32.55981941309254,4845
2011-08-03,30.950338600451467,3574
2011-08-04,30.275395033860043,4576
2011-08-05,30.30135440180587,4866
2011-08-06,30.483069977426634,4294
2011-08-07,31.28781038374717,3785
2011-08-08,31.988713318284418,4326
2011-08-09,32.300225733634306,4602
2011-08-10,32.04063205417607,4780
2011-08-11,30.509029345372458,4792
2011-08-12,30.223476297968393,4905
2011-08-13,29.522573363431142,4150
2011-08-14,29.23702031602709,3820
2011-08-15,28.89954853273137,4338
2011-08-16,29.989841986455982,4725
2011-08-17,30.690744920993225,4694
2011-08-18,30.327313769751687,3805
2011-08-19,29.49661399548532,4153
2011-08-20,29.88600451467269,5191
2011-08-21,30.30135440180587,3873
2011-08-22,29.704288939051906,4758
2011-08-23,28.120767494356645,5895
2011-08-24,29.133182844243795,5130
2011-08-25,29.470654627539492,3542
2011-08-26,29.963882618510155,4661
2011-08-27,29.34085778781038,1115
2011-08-28,30.18377373522772,4334
2011-08-29,27.99097065462753,4634
2011-08-30,28.068848758465,5204
2011-08-31,28.6139954853273,5058
2011-09-01,28.562076749435654,5115
2011-09-02,28.198645598194126,4727
2011-09-03,29.00338600451467,4484
2011-09-04,30.249435665914216,4940
2011-09-05,29.13318284424378,3351
2011-09-06,24.979683972911953,2710
2011-09-07,26.82279909706546,1996
2011-09-08,27.90519187358916,1842
2011-09-09,28.406320541760714,3544
2011-09-10,28.7178329571106,5345
2011-09-11,28.510158013544007,5046
2011-09-12,28.23024830699773,4713
2011-09-13,28.432279909706537,4763
2011-09-14,29.133182844243787,4785
2011-09-15,26.147855530474036,3659
2011-09-16,22.773137697516923,4760
2011-09-17,23.47404063205417,4511
2011-09-18,23.96726862302482,4274
2011-09-19,25.265237020316025,4539
2011-09-20,25.654627539503387,3641
2011-09-21,26.69300225733634,4352
2011-09-22,27.73137697516929,4795
2011-09-23,27.134311512415355,2395
2011-09-24,27.056433408577874,5423
2011-09-25,27.91309255079006,5010
2011-09-26,28.38036117381489,4630
2011-09-27,27.990970654627535,4120
2011-09-28,27.93905191873589,3907
2011-09-29,27.367945823927762,4839
2011-09-30,25.73250564334086,5202
2011-10-01,20.930022573363427,2429
2011-10-02,19.268623024830696,2918
2011-10-03,20.125282167042883,3570
2011-10-04,23.24040632054176,4456
2011-10-05,24.927765237020314,4826
2011-10-06,23.551918735891643,4765
2011-10-07,24.071106094808123,4985
2011-10-08,24.408577878103834,5409
2011-10-09,25.00564334085778,5511
2011-10-10,25.940180586907445,5117
2011-10-11,25.810383747178328,4563
2011-10-12,25.083521444695247,2416
2011-10-13,26.51128668171557,2913
2011-10-14,25.31715575620767,3644
2011-10-15,23.941309255079005,5217
2011-10-16,24.097065462753946,5041
2011-10-17,24.79796839729119,4570
2011-10-18,24.746049661399546,4748
2011-10-19,25.03386004514672,2424
2011-10-20,22.980812641083524,4195
2011-10-21,21.475169300225733,4304
2011-10-22,21.319413092550786,4308
2011-10-23,21.293453724604966,4381
2011-10-24,22.59142212189616,4187
2011-10-25,22.851015801354396,4687
2011-10-26,23.24040632054176,3894
2011-10-27,22.79909706546275,2659
2011-10-28,18.463882618510155,3747
2011-10-29,16.075620767494357,627
2011-10-30,18.100451467268623,3331
2011-10-31,18.749435665914216,3669
2011-11-01,20.644469525959366,4068
2011-11-02,19.917607223476296,4186
2011-11-03,20.878103837471777,3974
2011-11-04,20.722347629796836,4046
2011-11-05,18.334085778781038,3926
2011-11-06,19.009029345372458,3649
2011-11-07,20.462753950338595,4035
2011-11-08,20.878103837471777,4205
2011-11-09,20.618510158013542,4109
2011-11-10,19.995485327313766,2933
2011-11-11,18.256207674943568,3368
2011-11-12,19.268623024830696,4067
2011-11-13,21.890519187358912,3717
2011-11-14,24.668171557562076,4486
2011-11-15,24.668171557562076,4195
2011-11-16,22.383747178329575,1817
2011-11-17,18.801354401805874,3053
2011-11-18,16.69864559819413,3392
2011-11-19,18.411963882618508,3663
2011-11-20,22.59142212189616,3520
2011-11-21,22.098194130925503,2765
2011-11-22,21.137697516930025,1607
2011-11-23,21.890519187358912,2566
2011-11-24,19.78781038374717,1495
2011-11-25,19.839729119638825,2792
2011-11-26,19.865688487584645,3068
2011-11-27,22.461625282167038,3071
2011-11-28,23.841986455981935,3867
2011-11-29,22.43566591422121,2914
2011-11-30,18.28216704288939,3613
2011-12-01,17.892776523702032,3727
2011-12-02,17.94469525959368,3940
2011-12-03,17.47742663656885,3614
2011-12-04,18.463882618510155,3485
2011-12-05,20.17720090293454,3811
2011-12-06,22.565462753950342,2594
2011-12-07,20.930022573363424,705
2011-12-08,16.43905191873589,3322
2011-12-09,17.21783295711061,3620
2011-12-10,16.724604966139957,3190
2011-12-11,15.0372460496614,2743
2011-12-12,15.582392776523701,3310
2011-12-13,16.95823927765237,3523
2011-12-14,18.048532731376973,3740
2011-12-15,21.319413092550786,3709
2011-12-16,19.839729119638825,3577
2011-12-17,16.205417607223474,2739
2011-12-18,15.582392776523701,2431
2011-12-19,16.7765237020316,3403
2011-12-20,20.177200902934533,3750
2011-12-21,21.50112866817156,2660
2011-12-22,21.345372460496613,3068
2011-12-23,19.78781038374718,2209
2011-12-24,17.581264108352144,1011
2011-12-25,16.71783295711061,754
2011-12-26,18.18058690744921,1317
2011-12-27,18.28216704288939,1162
2011-12-28,17.47629796839729,2302
2011-12-29,15.893905191873591,2423
2011-12-30,17.86681715575621,2999
2011-12-31,20.93002257336343,2485
2012-01-01,19.683972911963885,2294
2012-01-02,16.663656884875845,1951
2012-01-03,12.830699774266364,2236
2012-01-04,11.506772009029346,2368
2012-01-05,16.43905191873589,3272
2012-01-06,18.56772009029345,4098
2012-01-07,20.410835214446948,4521
2012-01-08,18.67155756207675,3425
2012-01-09,15.141083521444692,2376
2012-01-10,17.774266365688487,3598
2012-01-11,16.69864559819413,2177
2012-01-12,20.07336343115124,4097
2012-01-13,16.69864559819413,3214
2012-01-14,13.765237020316025,2493
2012-01-15,13.349887133182843,2311
2012-01-16,14.076749435665914,2298
2012-01-17,19.778781038374717,2935
2012-01-18,17.607223476297968,3376
2012-01-19,14.076749435665914,3292
2012-01-20,14.933408577878101,3163
2012-01-21,13.557562076749434,1301
2012-01-22,13.220090293453724,1977
2012-01-23,14.959367945823926,2432
2012-01-24,18.827313769751694,4339
2012-01-25,17.321670428893903,4270
2012-01-26,18.801354401805867,4075
2012-01-27,21.39729119638826,3456
2012-01-28,17.996613995485326,4023
2012-01-29,16.95823927765237,3243
2012-01-30,16.542889390519186,3624
2012-01-31,20.306997742663654,4509
2012-02-01,22.77313769751693,4579
2012-02-02,20.592550790067715,3761
2012-02-03,17.918735891647856,4151
2012-02-04,16.387133182844245,2832
2012-02-05,16.439051918735892,2947
2012-02-06,16.96162528216704,3784
2012-02-07,19.190744920993225,4375
2012-02-08,16.153498871331827,2802
2012-02-09,16.41309255079007,3830
2012-02-10,16.906320541760724,3831
2012-02-11,15.141083521444694,2169
2012-02-12,12.129796839729119,1529
2012-02-13,15.089164785553047,3422
2012-02-14,18.10045146726862,3922
2012-02-15,19.009029345372458,4169
2012-02-16,18.02257336343115,3005
2012-02-17,18.853273137697514,4154
2012-02-18,18.95711060948081,4318
2012-02-19,16.880361173814897,2689
2012-02-20,16.880361173814897,3129
2012-02-21,17.12415349887133,3777
2012-02-22,20.48871331828442,4773
2012-02-23,22.305869074492094,5062
2012-02-24,20.852144469525957,3487
2012-02-25,17.21783295711061,2732
2012-02-26,16.854401805869074,3389
2012-02-27,19.58013544018059,4322
2012-02-28,19.34650112866817,4363
2012-02-29,18.884875846501128,1834
2012-03-01,23.292325056433402,4990
2012-03-02,19.164785553047402,3194
2012-03-03,21.059819413092548,4066
2012-03-04,18.308126410835214,3423
2012-03-05,15.738148984198645,3333
2012-03-06,16.205417607223474,3956
2012-03-07,20.748306997742663,4916
2012-03-08,24.590293453724605,5382
2012-03-09,20.955981941309254,4569
2012-03-10,17.11399548532731,4118
2012-03-11,19.426636568848757,4911
2012-03-12,22.695259593679456,5298
2012-03-13,25.75846501128668,5847
2012-03-14,25.992099322799092,6312
2012-03-15,25.524830699774263,6192
2012-03-16,21.734762979683975,4378
2012-03-17,24.17494356659142,7836
2012-03-18,22.87697516930022,5892
2012-03-19,25.13544018058691,6153
2012-03-20,25.628668171557564,6093
2012-03-21,24.72009029345372,6230
2012-03-22,25.420993227990973,6871
2012-03-23,26.900677200902926,8362
2012-03-24,23.81151241534989,3372
2012-03-25,21.786681715575618,4996
2012-03-26,22.04627539503386,5558
2012-03-27,18.23024830699774,5102
2012-03-28,23.240406320541762,5698
2012-03-29,23.551918735891647,6133
2012-03-30,19.68397291196388,5459
2012-03-31,21.371331828442433,6235
2012-04-01,21.423250564334083,6041
2012-04-02,21.674943566591423,5936
2012-04-03,22.695259593679456,6772
2012-04-04,25.03160270880361,6436
2012-04-05,21.708803611738144,6457
2012-04-06,20.722347629796836,6460
2012-04-07,21.786681715575618,6857
2012-04-08,23.733634311512418,5169
2012-04-09,23.3961625282167,5585
2012-04-10,22.072234762979676,5918
2012-04-11,19.020316027088036,4862
2012-04-12,20.540632054176072,5409
2012-04-13,21.94243792325056,6398
2012-04-14,23.57787810383747,7460
2012-04-15,27.056433408577867,7132
2012-04-16,28.847629796839726,6370
2012-04-17,27.108352144469528,6691
2012-04-18,22.591422121896173,4367
2012-04-19,23.681715575620764,6565
2012-04-20,24.564334085778775,7290
2012-04-21,25.914221218961615,6624
2012-04-22,20.514672686230245,1027
2012-04-23,18.178329571106094,3214
2012-04-24,21.033860045146724,5633
2012-04-25,23.006772009029344,6196
2012-04-26,23.681715575620764,5026
2012-04-27,22.409706546275387,6233
2012-04-28,19.891647855530472,4220
2012-04-29,22.435665914221218,6304
2012-04-30,22.617381489841982,5572
2012-05-01,27.26410835214446,5740
2012-05-02,25.73250564334085,6169
2012-05-03,25.602708803611733,6421
2012-05-04,27.705417607223474,6296
2012-05-05,27.523702031602703,6883
2012-05-06,25.680586907449214,6359
2012-05-07,24.901805869074494,6273
2012-05-08,26.27765237020316,5728
2012-05-09,26.069977426636566,4717
2012-05-10,23.915349887133182,6572
2012-05-11,24.772009029345377,7030
2012-05-12,25.73250564334085,7429
2012-05-13,27.238148984198638,6118
2012-05-14,26.018058690744912,2843
2012-05-15,27.212189616252818,5115
2012-05-16,27.990970654627528,7424
2012-05-17,26.641083521444692,7384
2012-05-18,25.73250564334086,7639
2012-05-19,26.848758465011283,8294
2012-05-20,27.497742663656876,7129
2012-05-21,26.796839729119633,4359
2012-05-22,27.316027088036112,6073
2012-05-23,27.523702031602706,5260
2012-05-24,28.562076749435658,6770
2012-05-25,29.34085778781038,6734
2012-05-26,29.730248306997748,6536
2012-05-27,29.652370203160263,6591
2012-05-28,30.35327313769751,6043
2012-05-29,30.6647855530474,5743
2012-05-30,28.6139954853273,6855
2012-05-31,29.340857787810375,7338
2012-06-01,28.536117381489838,4127
2012-06-02,26.32957110609481,8120
2012-06-03,26.926636568848746,7641
2012-06-04,26.770880361173813,6998
2012-06-05,25.00564334085778,7001
2012-06-06,25.420993227990973,7055
2012-06-07,26.926636568848753,7494
2012-06-08,28.3803611738149,7736
2012-06-09,30.301354401805867,7498
2012-06-10,30.794582392776523,6598
2012-06-11,30.61286681715575,6664
2012-06-12,28.51015801354401,4972
2012-06-13,28.588036117381478,7421
2012-06-14,28.354401805869063,7363
2012-06-15,28.068848758465002,7665
2012-06-16,27.835214446952584,7702
2012-06-17,26.61512415349887,6978
2012-06-18,25.862302483069975,5099
2012-06-19,29.600451467268616,6825
2012-06-20,32.533860045146724,6211
2012-06-21,33.26072234762979,5905
2012-06-22,32.37810383747177,5823
2012-06-23,30.950338600451463,7458
2012-06-24,31.313769751693002,6891
2012-06-25,30.457110609480807,6779
2012-06-26,27.80925507900676,7442
2012-06-27,29.88600451467268,7335
2012-06-28,31.49548532731376,6879
2012-06-29,34.143340857787805,5463
2012-06-30,31.988713318284418,5687
2012-07-01,33.57223476297968,5531
2012-07-02,32.50790067720091,6227
2012-07-03,32.48194130925506,6660
2012-07-04,32.74153498871331,7403
2012-07-05,33.93566591422122,6241
2012-07-06,33.961625282167034,6207
2012-07-07,35.0,4840
2012-07-08,33.77990970654626,4672
2012-07-09,30.301354401805867,6569
2012-07-10,30.612866817155755,6290
2012-07-11,30.483069977426638,7264
2012-07-12,30.457110609480814,7446
2012-07-13,30.950338600451467,7499
2012-07-14,30.06772009029345,6969
2012-07-15,31.391647855530465,6031
2012-07-16,31.936794582392764,6830
2012-07-17,33.65011286681715,6786
2012-07-18,32.871331828442436,5713
2012-07-19,32.14446952595936,6591
2012-07-20,28.89954853273137,5870
2012-07-21,26.718961625282173,4459
2012-07-22,28.951467268623023,7410
2012-07-23,31.261851015801348,6966
2012-07-24,31.547404063205413,7592
2012-07-25,30.71670428893905,8173
2012-07-26,32.352144469525946,6861
2012-07-27,32.507900677200894,6904
2012-07-28,31.70316027088035,6685
2012-07-29,30.63882618510158,6597
2012-07-30,30.92437923250564,7105
2012-07-31,30.379232505643337,7216
2012-08-01,30.509029345372458,7580
2012-08-02,31.599322799097056,7261
2012-08-03,32.01467268623024,7175
2012-08-04,32.871331828442436,6824
2012-08-05,32.11851015801354,5464
2012-08-06,31.599322799097063,7013
2012-08-07,31.08013544018058,7273
2012-08-08,31.52144469525959,7534
2012-08-09,31.703160270880353,7286
2012-08-10,30.457110609480807,5786
2012-08-11,29.730248306997733,6299
2012-08-12,29.989841986455982,6544
2012-08-13,30.612866817155755,6883
2012-08-14,30.79458239277652,6784
2012-08-15,30.171557562076753,7347
2012-08-16,30.5609480812641,7605
2012-08-17,30.69074492099322,7148
2012-08-18,29.288939051918735,7865
2012-08-19,27.965011286681708,4549
2012-08-20,27.965011286681708,6530
2012-08-21,28.380361173814894,7006
2012-08-22,28.951467268623016,7375
2012-08-23,29.834085778781038,7765
2012-08-24,30.041760722347632,7582
2012-08-25,28.76975169300225,6053
2012-08-26,28.510158013544007,5255
2012-08-27,30.067720090293452,6917
2012-08-28,30.84650112866817,7040
2012-08-29,29.49661399548532,7697
2012-08-30,30.17155756207675,7713
2012-08-31,31.96275395033859,7350
2012-09-01,31.625282167042883,6140
2012-09-02,29.860045146726858,5810
2012-09-03,30.197516930022566,6034
2012-09-04,30.768623024830696,6864
2012-09-05,31.106094808126404,7112
2012-09-06,29.860045146726847,6203
2012-09-07,30.06772009029345,7504
2012-09-08,28.691873589164775,5976
2012-09-09,27.16027088036117,8227
2012-09-10,26.32957110609481,7525
2012-09-11,26.147855530474043,7767
2012-09-12,26.82279909706546,7870
2012-09-13,27.238148984198638,7804
2012-09-14,27.887133182844234,8009
2012-09-15,27.108352144469528,8714
2012-09-16,26.225733634311513,7333
2012-09-17,26.251693002257333,6869
2012-09-18,27.575620767494357,4073
2012-09-19,25.36907449209932,7591
2012-09-20,25.18735891647855,7720
2012-09-21,26.82279909706546,8167
2012-09-22,28.406320541760714,8395
2012-09-23,24.642212189616252,7907
2012-09-24,24.17494356659142,7436
2012-09-25,25.291196388261852,7538
2012-09-26,27.93905191873588,7733
2012-09-27,28.406320541760714,7393
2012-09-28,27.445823927765236,7415
2012-09-29,25.057562076749434,8555
2012-09-30,24.564334085778775,6889
2012-10-01,24.38261851015801,6778
2012-10-02,26.563205417607225,4639
2012-10-03,28.639954853273128,7572
2012-10-04,28.63995485327313,7328
2012-10-05,27.316027088036112,8156
2012-10-06,25.42099322799097,7965
2012-10-07,21.11173814898419,3510
2012-10-08,20.09932279909706,5478
2012-10-09,22.072234762979683,6392
2012-10-10,24.17494356659142,7691
2012-10-11,21.708803611738148,7570
2012-10-12,21.786681715575618,7282
2012-10-13,20.410835214446948,7109
2012-10-14,24.40857787810383,6639
2012-10-15,25.654627539503387,5875
2012-10-16,22.7471783295711,7534
2012-10-17,22.35778781038374,7461
2012-10-18,24.434537246049658,7509
2012-10-19,25.70654627539503,5424
2012-10-20,23.24040632054176,8090
2012-10-21,22.617381489841982,6824
2012-10-22,23.344243792325056,7058
2012-10-23,25.10948081264108,7466
2012-10-24,26.459367945823917,7693
2012-10-25,25.291196388261845,7359
2012-10-26,25.161399548532728,7444
2012-10-27,24.668171557562076,7852
2012-10-28,23.032731376975168,4459
2012-10-29,21.86455981941309,22
2012-10-30,18.069772214241738,1096
2012-10-31,19.29458239277652,5566
2012-11-01,19.55417607223476,5986
2012-11-02,19.21670428893905,5847
2012-11-03,18.853273137697514,5138
2012-11-04,18.308126410835218,5107
2012-11-05,18.10045146726862,5259
2012-11-06,16.90632054176072,5686
2012-11-07,17.373589164785553,5035
2012-11-08,19.128668171557557,5315
2012-11-09,19.424379232505643,5992
2012-11-10,20.28103837471783,6536
2012-11-11,21.26749435665914,6852
2012-11-12,23.266365688487575,6269
2012-11-13,18.85327313769752,4094
2012-11-14,17.165914221218962,5495
2012-11-15,18.178329571106094,5445
2012-11-16,18.905191873589164,5698
2012-11-17,18.28216704288939,5629
2012-11-18,18.827313769751694,4669
2012-11-19,20.02144469525959,5499
2012-11-20,19.813769751692995,5634
2012-11-21,19.164785553047402,5146
2012-11-22,18.74943566591422,2425
2012-11-23,19.632054176072234,3910
2012-11-24,16.828442437923247,2277
2012-11-25,15.816027088036115,2424
2012-11-26,17.918735891647852,5087
2012-11-27,17.243792325056432,3959
2012-11-28,17.399548532731373,5260
2012-11-29,16.907449209932278,5323
2012-11-30,17.451467268623023,5668
2012-12-01,17.451467268623023,5191
2012-12-02,18.983069977426638,4649
2012-12-03,22.253950338600454,6234
2012-12-04,22.980812641083517,6606
2012-12-05,21.81264108352144,5729
2012-12-06,16.127539503386004,5375
2012-12-07,18.15237020316027,5008
2012-12-08,20.047404063205413,5582
2012-12-09,20.125282167042887,3228
2012-12-10,21.73476297968397,5170
2012-12-11,19.164785553047405,5501
2012-12-12,17.425507900677204,5319
2012-12-13,17.373589164785553,5532
2012-12-14,16.932279909706548,5611
2012-12-15,18.256207674943568,5047
2012-12-16,19.45033860045146,3786
2012-12-17,20.41083521444695,4585
2012-12-18,20.955981941309254,5557
2012-12-19,18.515801354401802,5267
2012-12-20,18.43792325056433,4128
2012-12-21,18.33408577878104,3623
2012-12-22,16.439051918735892,1749
2012-12-23,15.816027088036119,1787
2012-12-24,15.363431151241535,920
2012-12-25,17.232505643340858,1013
2012-12-26,15.738148984198645,441
2012-12-27,16.075620767494357,2114
2012-12-28,16.049661399548533,3095
2012-12-29,16.04966139954853,1341
2012-12-30,16.127539503386004,1796
2012-12-31,14.881489841986454,2729
